1|5|1
4|21|2
2|3|1
3|4|2
3|20|1
4|22|1
4|21|1
4|19|1
5|6|1
5|8|1
5|9|1
6|11|1
6|12|2
6|13|3
7|17|3
7|16|2
7|14|1
8|15|1
8|19|2
9|14|4
10|6|3
10|17|2
10|21|1
10|2|1
10|5|2
11|17|2
11|20|1
11|5|1
11|10|1
12|6|1
12|11|1
12|14|2
12|17|1
13|14|2
13|13|1
13|21|1
13|19|1
14|16|1
14|19|1
14|3|1
14|14|1
14|15|1
14|19|1
15|17|1
15|22|1
15|14|2
16|6|5
16|2|1
17|18|2
17|14|1
17|21|2
17|10|3
17|13|4
17|14|1
18|6|6
18|18|4
18|21|2
18|13|5
18|6|8
18|4|1
19|6|6
19|3|2
19|6|3
20|6|2
20|5|2
20|9|3
2|1|2
21|3|1
1|7|1
4|5|2
12|14|2
22|5|1
23|4|1
24|3|1
25|2|3
25|1|2
26|13|1
26|15|1
27|1|1
28|14|3
28|12|2
29|8|1
30|5|1
30|6|1
31|22|1
31|21|2
32|19|2
33|6|3
33|3|2
34|19|2
35|5|1
36|11|1
37|2|2
37|7|2
38|15|2
38|14|1
39|1|1
40|2|1
40|5|1
41|8|2
42|20|1
42|17|1
43|6|1
44|12|2
45|33|1
